date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:43:47	138042/138042	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Mar%202021%2008:43:48%20GMT	https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html?redirect=1	C:/Users/niels/OneDrive/Desktop/nu/www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af3cff.html	(from )
09:43:48	178/178	---M-Z	200	added ('OK')	text/plain	date:Thu,%2004%20Mar%202021%2008:43:21%20GMT	https://www.nu.nl/robots.txt		(from )
09:43:50	138021/138021	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Mar%202021%2008:43:50%20GMT	https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html	C:/Users/niels/OneDrive/Desktop/nu/www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html	(from https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html?redirect=1)
09:43:50	61387/61387	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Mar%202021%2008:43:51%20GMT	https://www.nu.nl/binnenland/6113622/android-app://nl.sanomamedia.android.nu/http/www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html	C:/Users/niels/OneDrive/Desktop/nu/www.nu.nl/binnenland/6113622/android-app_/nl.sanomamedia.android.nu/http/www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html	(from https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html?redirect=1)
09:43:50	101228/101228	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Mar%202021%2008:43:51%20GMT	https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.amp	C:/Users/niels/OneDrive/Desktop/nu/www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af-2.html	(from https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html?redirect=1)
09:43:50	1669/1669	---M--	200	added ('OK')	image/png	etag:%22603e3446-685%22	https://www.nu.nl/static/img/atoms/images/favicon/apple-touch-icon-57x57.png	C:/Users/niels/OneDrive/Desktop/nu/www.nu.nl/static/img/atoms/images/favicon/apple-touch-icon-57x57.png	(from https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html?redirect=1)
09:43:50	1717/1717	---M--	200	added ('OK')	image/png	etag:%226038e16a-6b5%22	https://www.nu.nl/static/img/atoms/images/favicon/apple-touch-icon-60x60.png	C:/Users/niels/OneDrive/Desktop/nu/www.nu.nl/static/img/atoms/images/favicon/apple-touch-icon-60x60.png	(from https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html?redirect=1)
09:43:51	1925/1925	---M--	200	added ('OK')	image/png	etag:%22603e3588-785%22	https://www.nu.nl/static/img/atoms/images/favicon/apple-touch-icon-72x72.png	C:/Users/niels/OneDrive/Desktop/nu/www.nu.nl/static/img/atoms/images/favicon/apple-touch-icon-72x72.png	(from https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html?redirect=1)
09:43:51	2018/2018	---M--	200	added ('OK')	image/png	etag:%22602fad6c-7e2%22	https://www.nu.nl/static/img/atoms/images/favicon/apple-touch-icon-76x76.png	C:/Users/niels/OneDrive/Desktop/nu/www.nu.nl/static/img/atoms/images/favicon/apple-touch-icon-76x76.png	(from https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html?redirect=1)
09:43:51	3008/3008	---M--	200	added ('OK')	image/png	etag:%226038e270-bc0%22	https://www.nu.nl/static/img/atoms/images/favicon/apple-touch-icon-114x114.png	C:/Users/niels/OneDrive/Desktop/nu/www.nu.nl/static/img/atoms/images/favicon/apple-touch-icon-114x114.png	(from https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html?redirect=1)
09:43:51	3229/3229	---M--	200	added ('OK')	image/png	etag:%226038e270-c9d%22	https://www.nu.nl/static/img/atoms/images/favicon/apple-touch-icon-120x120.png	C:/Users/niels/OneDrive/Desktop/nu/www.nu.nl/static/img/atoms/images/favicon/apple-touch-icon-120x120.png	(from https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html?redirect=1)
09:43:51	4014/4014	---M--	200	added ('OK')	image/png	etag:%226038e16a-fae%22	https://www.nu.nl/static/img/atoms/images/favicon/apple-touch-icon-144x144.png	C:/Users/niels/OneDrive/Desktop/nu/www.nu.nl/static/img/atoms/images/favicon/apple-touch-icon-144x144.png	(from https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html?redirect=1)
09:43:52	4390/4390	---M--	200	added ('OK')	image/png	etag:%22603e3446-1126%22	https://www.nu.nl/static/img/atoms/images/favicon/apple-touch-icon-152x152.png	C:/Users/niels/OneDrive/Desktop/nu/www.nu.nl/static/img/atoms/images/favicon/apple-touch-icon-152x152.png	(from https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html?redirect=1)
09:43:52	5565/5565	---M--	200	added ('OK')	image/png	etag:%226038e16a-15bd%22	https://www.nu.nl/static/img/atoms/images/favicon/apple-touch-icon-180x180.png	C:/Users/niels/OneDrive/Desktop/nu/www.nu.nl/static/img/atoms/images/favicon/apple-touch-icon-180x180.png	(from https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html?redirect=1)
09:43:52	1277/1277	---M--	200	added ('OK')	image/png	etag:%22603ca468-4fd%22	https://www.nu.nl/static/img/atoms/images/favicon/favicon-32x32.png	C:/Users/niels/OneDrive/Desktop/nu/www.nu.nl/static/img/atoms/images/favicon/favicon-32x32.png	(from https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html?redirect=1)
09:43:52	3884/3884	---M--	200	added ('OK')	image/png	etag:%226038e16a-f2c%22	https://www.nu.nl/static/img/atoms/images/favicon/android-chrome-192x192.png	C:/Users/niels/OneDrive/Desktop/nu/www.nu.nl/static/img/atoms/images/favicon/android-chrome-192x192.png	(from https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html?redirect=1)
09:43:53	2312/2312	---M--	200	added ('OK')	image/png	etag:%226038e16a-908%22	https://www.nu.nl/static/img/atoms/images/favicon/favicon-96x96.png	C:/Users/niels/OneDrive/Desktop/nu/www.nu.nl/static/img/atoms/images/favicon/favicon-96x96.png	(from https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html?redirect=1)
09:43:53	693/693	---M--	200	added ('OK')	image/png	etag:%22602fad6c-2b5%22	https://www.nu.nl/static/img/atoms/images/favicon/favicon-16x16.png	C:/Users/niels/OneDrive/Desktop/nu/www.nu.nl/static/img/atoms/images/favicon/favicon-16x16.png	(from https://www.nu.nl/binnenland/6113622/veel-ongelukken-rond-amsterdam-door-gladheid-anwb-raadt-weggebruik-af.html?redirect=1)
